time,record,u,v,w,Tsonica,coderr,voltaje
2012-01-04 01:00:13.9,36882678.0,-1.13,-1.13,-0.06,13.58,0.0,12.0
2012-01-04 01:00:13.95,36882679.0,-1.16,-1.14,-0.06,13.56,0.0,12.0
2012-01-04 01:00:14,36882680.0,-1.2,-1.12,-0.05,13.51,0.0,12.0
2012-01-04 01:00:14.05,36882681.0,-1.13,-1.13,-0.06,13.58,0.0,12.0
2012-01-04 01:00:14.1,36882682.0,-1.17,-1.13,-0.07,13.61,0.0,12.0
2012-01-04 01:00:14.15,36882683.0,-1.15,-1.15,-0.1,13.63,0.0,12.0
2012-01-04 01:00:14.2,36882684.0,-1.17,-1.13,-0.07,13.61,0.0,12.0
2012-01-04 01:00:14.25,36882685.0,-1.1,-1.09,-0.07,13.61,0.0,12.0
2012-01-04 01:00:14.3,36882686.0,-1.04,-1.1,-0.17,13.58,0.0,12.0
2012-01-04 01:00:14.35,36882687.0,-1.04,-1.1,-0.17,13.58,0.0,12.0
2012-01-04 01:00:14.4,36882688.0,-1.09,-1.09,-0.16,13.63,0.0,12.0
2012-01-04 01:00:14.45,36882689.0,-1.04,-1.14,-0.21,13.63,0.0,12.0
